StudyHours,Attendance,Resources,Extracurricular,Motivation,Internet,Gender,Age,LearningStyle,OnlineCourses,Discussions,AssignmentCompletion,ExamScore,EduTech,StressLevel,FinalGrade,flag_unrealistic,EngagementScore,AcademicEffort,PerformanceGap,StudyEfficiency,WellbeingIndex,DigitalScore,MotivationXResources,AttendanceXStudy,ExamXEngagement,GMM_Cluster
19,64,1,0,0,1,0,19,2,8,1,59,40,0,1,3,0,59.2,23.0,-19,2.1052631578947367,0,1.8,0,12.16,23.77510040160643,1
19,64,1,0,0,1,0,23,3,16,0,90,66,0,1,2,0,61.6,27.0,-24,3.473684210526316,0,2.6,0,12.16,40.81927710843374,1
19,64,1,1,0,1,0,19,2,8,1,59,40,0,1,3,0,69.2,23.0,-19,2.1052631578947367,0,1.8,0,12.16,27.791164658634543,1
19,64,1,1,0,1,0,23,3,16,0,90,66,0,1,2,0,71.6,27.0,-24,3.473684210526316,0,2.6,0,12.16,47.44578313253012,1
19,64,0,1,0,1,0,19,2,8,1,59,40,0,1,3,0,69.2,23.0,-19,2.1052631578947367,-1,1.8,0,12.16,27.791164658634543,1
19,64,0,1,0,1,0,23,3,16,0,90,66,0,1,2,0,71.6,27.0,-24,3.473684210526316,-1,2.6,0,12.16,47.44578313253012,1
19,64,1,1,1,1,0,19,2,8,1,59,40,0,1,3,0,69.2,23.0,-19,2.1052631578947367,1,1.8,1,12.16,27.791164658634543,1
19,64,1,1,1,1,0,23,3,16,0,90,66,0,1,2,0,71.6,27.0,-24,3.473684210526316,1,2.6,1,12.16,47.44578313253012,1
19,64,2,0,1,1,0,19,2,8,1,59,40,0,1,3,0,59.2,23.0,-19,2.1052631578947367,2,1.8,2,12.16,23.77510040160643,1
19,64,2,0,1,1,0,23,3,16,0,90,66,0,1,2,0,61.6,27.0,-24,3.473684210526316,2,2.6,2,12.16,40.81927710843374,1
24,98,1,1,1,1,1,29,0,3,0,65,46,1,2,3,0,75.2,25.5,-19,1.9166666666666667,0,2.3,1,23.52,34.73092369477912,1
24,98,1,1,1,1,1,27,0,0,1,71,83,1,0,1,0,87.60000000000001,24.0,12,3.4583333333333335,2,2.0,1,23.52,73.00000000000001,1
24,98,1,1,1,1,1,25,1,5,1,61,95,1,0,0,0,83.60000000000001,26.5,34,3.9583333333333335,2,2.5,1,23.52,79.73895582329318,1
24,98,0,0,2,1,1,29,0,3,0,65,46,1,2,3,0,65.2,25.5,-19,1.9166666666666667,0,2.3,0,23.52,30.11244979919679,1
24,98,0,0,2,1,1,27,0,0,1,71,83,1,0,1,0,77.60000000000001,24.0,12,3.4583333333333335,2,2.0,0,23.52,64.66666666666667,1
24,98,0,0,2,1,1,25,1,5,1,61,95,1,0,0,0,73.60000000000001,26.5,34,3.9583333333333335,2,2.5,0,23.52,70.20080321285141,1
24,98,0,0,1,1,1,29,0,3,0,65,46,1,2,3,0,65.2,25.5,-19,1.9166666666666667,-1,2.3,0,23.52,30.11244979919679,1
24,98,0,0,1,1,1,27,0,0,1,71,83,1,0,1,0,77.60000000000001,24.0,12,3.4583333333333335,1,2.0,0,23.52,64.66666666666667,1
24,98,0,0,1,1,1,25,1,5,1,61,95,1,0,0,0,73.60000000000001,26.5,34,3.9583333333333335,1,2.5,0,23.52,70.20080321285141,1
24,98,1,1,2,1,1,29,0,3,0,65,46,1,2,3,0,75.2,25.5,-19,1.9166666666666667,1,2.3,2,23.52,34.73092369477912,1
24,98,1,1,2,1,1,27,0,0,1,71,83,1,0,1,0,87.60000000000001,24.0,12,3.4583333333333335,3,2.0,2,23.52,73.00000000000001,1
24,98,1,1,2,1,1,25,1,5,1,61,95,1,0,0,0,83.60000000000001,26.5,34,3.9583333333333335,3,2.5,2,23.52,79.73895582329318,1
29,89,1,1,1,1,1,20,0,17,1,75,54,1,2,3,0,85.6,37.5,-21,1.8620689655172413,0,3.7,1,25.81,46.40963855421687,1
29,89,1,1,1,1,1,23,2,4,1,59,42,1,2,3,0,79.2,31.0,-17,1.4482758620689655,0,2.4,1,25.81,33.397590361445786,1
29,89,1,1,1,1,1,23,0,1,0,96,62,1,2,2,0,84.0,29.5,-34,2.1379310344827585,0,2.1,1,25.81,52.28915662650603,1
29,89,0,1,0,1,1,20,0,17,1,75,54,1,2,3,0,85.6,37.5,-21,1.8620689655172413,-2,3.7,0,25.81,46.40963855421687,1
29,89,0,1,0,1,1,23,2,4,1,59,42,1,2,3,0,79.2,31.0,-17,1.4482758620689655,-2,2.4,0,25.81,33.397590361445786,1
29,89,0,1,0,1,1,23,0,1,0,96,62,1,2,2,0,84.0,29.5,-34,2.1379310344827585,-2,2.1,0,25.81,52.28915662650603,1
19,92,1,1,1,1,0,19,3,12,1,63,40,1,2,3,0,82.0,25.0,-23,2.1052631578947367,0,3.2,1,17.48,32.93172690763052,1
